# Label	Pretty_Label	Genome_Source	Genome_Method	Genome_Locator	Genome_Selector	Reads_Source	Reads_Method	Reads_Type	Reads_Locator
lindell_v0	Saccharina latissima (US v0)	local	file	/project2/noujdine_61/kdeweese/latissima/all_s_latissima_assemblies/lindell_v0/SugarkelpHifiasm.raconPolished.fasta.gz		local	glob	pacbio	/project2/noujdine_61/kdeweese/latissima/longreads/ccs/*.fastq.gz
lindell_v1	Saccharina latissima (US v1)	local	file	/project2/noujdine_61/kdeweese/latissima/all_s_latissima_assemblies/lindell_v1/SlaSLCT1FG3_1_AssemblyScaffolds_Repeatmasked.fasta		local	glob	pacbio	/project2/noujdine_61/kdeweese/latissima/longreads/ccs/*.fastq.gz
corteva_v1	Saccharina latissima (US v2 draft)	local	file	/project2/noujdine_61/kdeweese/latissima/all_s_latissima_assemblies/corteva_v1/Draft_ONT_TelomereContigs_Saccharina.fasta.gz		local	glob	nanopore	/project2/noujdine_61/kdeweese/latissima/all_s_latissima_assemblies/corteva_v2/Slattisima_v0.2_ONT_raw_reads_Part[12].fastq
corteva_v2	Saccharina latissima (US v2)	local	file	/project2/noujdine_61/kdeweese/latissima/all_s_latissima_assemblies/corteva_v2/Slattisima_v0.2_Genome_Polished_111925.fasta		local	glob	nanopore	/project2/noujdine_61/kdeweese/latissima/all_s_latissima_assemblies/corteva_v2/Slattisima_v0.2_ONT_raw_reads_Part[12].fastq
corteva_v2_polished	Saccharina latissima (US v2 polished)	local	file	/project2/noujdine_61/kdeweese/latissima/all_s_latissima_assemblies/corteva_v2/Genome_Polished_013026_Illumina_Polished.fasta.gz		local	glob	nanopore	/project2/noujdine_61/kdeweese/latissima/all_s_latissima_assemblies/corteva_v2/Slattisima_v0.2_ONT_raw_reads_Part[12].fastq
roscoff_v1	Saccharina latissima (France v1)	remote	url_tar	https://phaeoexplorer.sb-roscoff.fr/download/Saccharina-latissima.tar.gz	Saccharina-latissima_FEMALE.fa	remote	sra	pacbio	ERR13438528
roscoff_v2	Saccharina latissima (France v2)	remote	url_tar	https://phaeoexplorer.sb-roscoff.fr/download/Saccharina-latissima-v2.tar.gz	S-latissima_SLPER63f_v2.0.fa	remote	sra	pacbio	ERR13438528
ilvo	Saccharina latissima (Norway; Bråtelund et al. 2024)	remote	ncbi	GCA_034768055.1		remote	sra	illumina	SRR26857257
japonica_li2025	Saccharina japonica (China; Li et al. 2025)	remote	figshare	27569472		remote	sra	pacbio	SRR31210069
ectocarpus_liu2024	Ectocarpus sp. (Peru; Liu et al. 2024)	remote	dataverse	10.17617/3.NQDSLW		remote	sra	nanopore	SRR28880056,SRR28831804
