ref_chrom	qry_contig	n	total_kb
scf00000002	SL_22	51	4179.6
scf00000003	SL_28	95	6761.4
seq00000023	SL_02	75	4357.8
seq00000034	SL_05	138	8247.8
seq00000045	SL_24	120	7523.8
seq00000054	SL_15	112	6960.9
seq00000055	SL_19	114	7228.6
seq00000057_91	SL_07	136	7587.9
seq00000058_82	SL_08	111	7138.5
seq00000059	SL_10	106	6550.5
seq00000060	SL_26	61	4983.4
seq00000061	SL_27	130	7460
seq00000062	SL_13	69	4183.4
seq00000063	SL_30	54	3935.5
seq00000065	SL_29	74	5076.5
seq00000068_75	SL_03	94	5711.3
seq00000069_84	SL_31	81	5380.7
seq00000071_78	SL_17	66	4225.4
seq00000072_93	SL_20	89	4402.8
seq00000076_74	SL_21	95	5582.2
seq00000081	SL_04	149	8455.4
seq00000085_70	SL_01	91	5699.9
seq00000086_01	SL_09	53	3627.3
seq00000087_88_67	SL_14	97	6464.6
seq00000092	SL_23	116	7519.1
seq00000103	SL_25	64	4485.1
seq00000114_90	SL_11	139	8244
seq00000125	SL_06	82	4740.7
seq00000136	SL_12	74	4773.4
