ref_chrom	qry_contig	n	total_kb
scf00000002	SL_22	51	4179.6
scf00000002	S-latissima_F_contig778	3	173.1
scf00000002	S-latissima_F_contig727	3	152.7
scf00000002	S-latissima_F_contig1192	5	130
scf00000002	S-latissima_F_contig1184	2	129.2
scf00000002	S-latissima_F_contig1280	1	116.1
scf00000002	S-latissima_F_contig1350	1	103.2
scf00000002	S-latissima_F_contig1583	1	100.2
scf00000002	S-latissima_F_contig1822	3	83.5
scf00000002	S-latissima_F_contig1907	2	76.6
scf00000002	S-latissima_F_contig1627	3	76
scf00000002	S-latissima_F_contig1276	2	72.1
scf00000002	S-latissima_F_contig1833	1	70
scf00000002	S-latissima_F_contig2040	1	66.2
scf00000002	S-latissima_F_contig1953	1	62.2
scf00000002	S-latissima_F_contig2194	1	60.5
scf00000002	S-latissima_F_contig1894	2	55.7
scf00000002	S-latissima_F_contig2255	1	55.3
scf00000002	S-latissima_F_contig2240	2	54.9
scf00000002	S-latissima_F_contig2065	2	54.4
scf00000002	S-latissima_F_contig2114	1	51.4
scf00000002	S-latissima_F_contig2324	1	50.1
scf00000002	S-latissima_F_contig2130	1	50
scf00000002	S-latissima_F_contig2054	2	48.5
scf00000002	S-latissima_F_contig2388	2	46.4
scf00000002	S-latissima_F_contig1813	3	44.2
scf00000002	S-latissima_F_contig2480	1	43.4
scf00000002	S-latissima_F_contig2641	2	41
scf00000002	S-latissima_F_contig2695	1	35.8
scf00000002	S-latissima_F_contig2726	1	35.7
scf00000002	S-latissima_F_contig1884	1	35.6
scf00000002	S-latissima_F_contig2766	2	35.6
scf00000002	S-latissima_F_contig2745	1	32.1
scf00000002	S-latissima_F_contig2507	2	30.6
scf00000002	S-latissima_F_contig2459	1	29.6
scf00000002	S-latissima_F_contig2487	3	28.6
scf00000002	S-latissima_F_contig2880	2	26.6
scf00000002	S-latissima_F_contig2826	1	26
scf00000002	S-latissima_F_contig2455	1	25.9
scf00000002	S-latissima_F_contig3028	1	25.4
scf00000002	S-latissima_F_contig3191	1	24.7
scf00000002	S-latissima_F_contig2955	1	22.8
scf00000002	S-latissima_F_contig3057	1	21.9
scf00000002	S-latissima_F_contig2229	2	21
scf00000002	S-latissima_F_contig2374	1	20.3
scf00000002	S-latissima_F_contig1880	2	17.7
scf00000002	S-latissima_F_contig3416	1	17.3
scf00000002	S-latissima_F_contig2728	1	15.5
scf00000002	S-latissima_F_contig3277	1	13.8
scf00000002	S-latissima_F_contig3352	1	13.6
scf00000002	S-latissima_F_contig3744	1	13.2
scf00000002	S-latissima_F_contig3738	1	11.8
scf00000002	S-latissima_F_contig3318	1	10.9
scf00000002	S-latissima_F_contig3461	1	10.9
scf00000002	S-latissima_F_contig3913	1	10.9
scf00000002	S-latissima_F_contig3908	1	10.8
scf00000002	S-latissima_F_contig4023	1	9.5
scf00000002	S-latissima_F_contig3012	1	8.8
scf00000002	S-latissima_F_contig4017	1	8.8
scf00000002	S-latissima_F_contig3491	1	8.2
scf00000002	S-latissima_F_contig4129	1	8
scf00000002	S-latissima_F_contig3838	1	7.1
scf00000002	S-latissima_F_contig4022	1	5.6
scf00000002	S-latissima_F_contig3463	1	5.1
scf00000002	S-latissima_F_contig4374	1	3.7
scf00000003	SL_28	95	6761.4
scf00000003	S-latissima_F_contig869	2	188.6
scf00000003	S-latissima_F_contig725	3	187.5
scf00000003	S-latissima_F_contig1487	1	111.6
scf00000003	S-latissima_F_contig1773	2	83.6
scf00000003	S-latissima_F_contig1843	1	79.6
scf00000003	S-latissima_F_contig1931	1	76.8
scf00000003	S-latissima_F_contig1961	1	66.3
scf00000003	S-latissima_F_contig2115	1	63
scf00000003	S-latissima_F_contig1916	2	54.2
scf00000003	S-latissima_F_contig2535	1	45.4
scf00000003	S-latissima_F_contig2473	1	44.9
scf00000003	S-latissima_F_contig2504	1	39.6
scf00000003	S-latissima_F_contig2111	2	37.7
scf00000003	S-latissima_F_contig2738	1	34.8
scf00000003	S-latissima_F_contig2838	1	34.4
scf00000003	S-latissima_F_contig2859	1	28.7
scf00000003	S-latissima_F_contig2980	1	25.8
scf00000003	S-latissima_F_contig2724	1	25
scf00000003	S-latissima_F_contig3190	2	23.1
scf00000003	S-latissima_F_contig3627	1	14.9
scf00000003	S-latissima_F_contig3657	1	12.3
scf00000003	S-latissima_F_contig3351	1	10.4
scf00000003	S-latissima_F_contig3449	1	9.9
scf00000003	S-latissima_F_contig3933	1	9.1
scf00000003	S-latissima_F_contig4104	1	7.9
scf00000003	S-latissima_F_contig3754	1	7.6
scf00000003	S-latissima_F_contig4082	1	6.3
scf00000003	S-latissima_F_contig4239	1	6.2
scf00000003	S-latissima_F_contig3878	1	5.3
seq00000000	S-latissima_F_contig1	8	1187.1
seq00000000	S-latissima_F_contig117	7	492.9
seq00000000	S-latissima_F_contig174	3	361.7
seq00000000	S-latissima_F_contig293	1	359.3
seq00000000	S-latissima_F_contig350	5	287.1
seq00000000	S-latissima_F_contig389	2	280.1
seq00000000	S-latissima_F_contig371	3	235.6
seq00000000	S-latissima_F_contig574	3	232.2
seq00000000	S-latissima_F_contig644	1	219.4
seq00000000	S-latissima_F_contig556	3	216.7
seq00000000	S-latissima_F_contig773	2	198.1
seq00000000	S-latissima_F_contig687	6	180.7
seq00000000	S-latissima_F_contig858	3	180.7
seq00000000	S-latissima_F_contig654	6	172.3
seq00000000	S-latissima_F_contig1001	4	153.3
seq00000000	S-latissima_F_contig743	2	152.2
seq00000000	S-latissima_F_contig1000	1	149.8
seq00000000	S-latissima_F_contig1074	2	149.6
seq00000000	S-latissima_F_contig1067	4	145.7
seq00000000	S-latissima_F_contig1151	3	130.8
seq00000000	S-latissima_F_contig762	5	123.6
seq00000000	S-latissima_F_contig1326	1	122
seq00000000	S-latissima_F_contig1128	2	120.4
seq00000000	S-latissima_F_contig1097	3	120.3
seq00000000	S-latissima_F_contig1393	2	114.8
seq00000000	S-latissima_F_contig1144	2	114.7
seq00000000	S-latissima_F_contig1541	1	106.9
seq00000000	S-latissima_F_contig1635	1	96.2
seq00000000	S-latissima_F_contig1581	1	94.1
seq00000000	S-latissima_F_contig1575	1	93.3
seq00000000	S-latissima_F_contig1652	1	93.2
seq00000000	S-latissima_F_contig1640	2	92
seq00000000	S-latissima_F_contig1512	3	91.4
seq00000000	S-latissima_F_contig1308	1	90.6
seq00000000	S-latissima_F_contig1710	2	89.9
seq00000000	S-latissima_F_contig1547	2	87.2
seq00000000	S-latissima_F_contig989	5	86.2
seq00000000	S-latissima_F_contig1623	2	85.5
seq00000000	S-latissima_F_contig1064	1	84.8
seq00000000	S-latissima_F_contig1571	3	83.5
seq00000000	S-latissima_F_contig941	2	82.2
seq00000000	S-latissima_F_contig1786	2	81.3
seq00000000	S-latissima_F_contig1381	3	79.3
seq00000000	S-latissima_F_contig1274	2	77.5
seq00000000	S-latissima_F_contig1492	1	76
seq00000000	S-latissima_F_contig1966	3	71.4
seq00000000	S-latissima_F_contig1615	1	68.4
seq00000000	S-latissima_F_contig2038	1	66.1
seq00000000	S-latissima_F_contig1495	3	60.8
seq00000000	S-latissima_F_contig1760	2	60.8
seq00000000	S-latissima_F_contig1716	1	58.5
seq00000000	S-latissima_F_contig2082	1	57.2
seq00000000	S-latissima_F_contig2241	1	57
seq00000000	S-latissima_F_contig1815	2	54.9
seq00000000	S-latissima_F_contig1401	4	54.7
seq00000000	S-latissima_F_contig2131	2	52.4
seq00000000	S-latissima_F_contig2287	1	52.4
seq00000000	S-latissima_F_contig1903	2	51.9
seq00000000	S-latissima_F_contig1889	1	50.5
seq00000000	S-latissima_F_contig2123	2	49.8
seq00000000	S-latissima_F_contig2392	1	48.6
seq00000000	S-latissima_F_contig2103	1	47.7
seq00000000	S-latissima_F_contig2209	2	47.4
seq00000000	S-latissima_F_contig1653	1	44.9
seq00000000	S-latissima_F_contig2344	1	43.2
seq00000000	S-latissima_F_contig2058	2	41.4
seq00000000	S-latissima_F_contig2404	1	39.9
seq00000000	S-latissima_F_contig2443	1	39.8
seq00000000	S-latissima_F_contig2438	3	38.1
seq00000000	S-latissima_F_contig2491	2	38.1
seq00000000	S-latissima_F_contig2306	2	37
seq00000000	S-latissima_F_contig2759	1	36.7
seq00000000	S-latissima_F_contig2587	1	35.9
seq00000000	S-latissima_F_contig2454	3	33.7
seq00000000	S-latissima_F_contig2786	1	33.4
seq00000000	S-latissima_F_contig1527	1	33.3
seq00000000	S-latissima_F_contig2883	2	33.2
seq00000000	S-latissima_F_contig1959	1	32.6
seq00000000	S-latissima_F_contig2476	2	32.3
seq00000000	S-latissima_F_contig1639	1	29.3
seq00000000	S-latissima_F_contig2008	1	29.3
seq00000000	S-latissima_F_contig2199	2	29.2
seq00000000	S-latissima_F_contig2239	1	28.3
seq00000000	S-latissima_F_contig2914	1	28
seq00000000	S-latissima_F_contig2904	1	27.9
seq00000000	S-latissima_F_contig3021	1	27.5
seq00000000	S-latissima_F_contig2997	1	27.4
seq00000000	S-latissima_F_contig2048	1	27.3
seq00000000	S-latissima_F_contig2795	2	27.2
seq00000000	S-latissima_F_contig2836	1	26.5
seq00000000	S-latissima_F_contig2894	1	26.2
seq00000000	S-latissima_F_contig2558	1	25.8
seq00000000	S-latissima_F_contig3183	1	24
seq00000000	S-latissima_F_contig2319	2	23.4
seq00000000	S-latissima_F_contig1992	1	23.1
seq00000000	S-latissima_F_contig2653	1	22.6
seq00000000	S-latissima_F_contig3031	1	22.6
seq00000000	S-latissima_F_contig2607	1	22
seq00000000	S-latissima_F_contig2730	2	22
seq00000000	S-latissima_F_contig2936	2	20.6
seq00000000	S-latissima_F_contig3317	1	20.4
seq00000000	S-latissima_F_contig3246	1	19.5
seq00000000	S-latissima_F_contig3298	1	18.8
seq00000000	S-latissima_F_contig3371	1	18.3
seq00000000	S-latissima_F_contig3456	1	18.1
seq00000000	S-latissima_F_contig3262	1	17.7
seq00000000	S-latissima_F_contig3215	1	17.2
seq00000000	S-latissima_F_contig3134	2	16.3
seq00000000	S-latissima_F_contig3544	1	15.9
seq00000000	S-latissima_F_contig3485	1	15.4
seq00000000	S-latissima_F_contig3034	1	14.8
seq00000000	S-latissima_F_contig3665	1	14.7
seq00000000	S-latissima_F_contig3059	1	14.3
seq00000000	S-latissima_F_contig3550	1	14
seq00000000	S-latissima_F_contig3748	1	13.5
seq00000000	S-latissima_F_contig3771	1	13.3
seq00000000	S-latissima_F_contig3468	1	13.2
seq00000000	S-latissima_F_contig2844	1	13
seq00000000	S-latissima_F_contig3793	1	12.9
seq00000000	S-latissima_F_contig3248	2	11.9
seq00000000	S-latissima_F_contig3519	1	11.8
seq00000000	S-latissima_F_contig3847	1	11.2
seq00000000	S-latissima_F_contig3921	1	10.8
seq00000000	S-latissima_F_contig3412	1	10.7
seq00000000	S-latissima_F_contig3919	1	10.4
seq00000000	S-latissima_F_contig3601	1	9.8
seq00000000	S-latissima_F_contig4065	1	9
seq00000000	S-latissima_F_contig4083	1	8.6
seq00000000	S-latissima_F_contig3973	1	8.2
seq00000000	S-latissima_F_contig3791	1	7.7
seq00000000	S-latissima_F_contig4116	1	7.7
seq00000000	S-latissima_F_contig3727	1	7.4
seq00000000	S-latissima_F_contig3686	1	7.3
seq00000000	S-latissima_F_contig3711	1	7.2
seq00000000	S-latissima_F_contig4155	1	7.2
seq00000000	S-latissima_F_contig4274	1	6.7
seq00000000	S-latissima_F_contig4052	1	6.6
seq00000000	S-latissima_F_contig3676	1	6.3
seq00000000	S-latissima_F_contig3942	1	6.3
seq00000000	S-latissima_F_contig2957	1	6.1
seq00000000	S-latissima_F_contig4085	1	6
seq00000000	S-latissima_F_contig3361	1	5.7
seq00000000	S-latissima_F_contig4136	1	5.6
seq00000000	S-latissima_F_contig4293	1	5.5
seq00000000	S-latissima_F_contig4311	1	5.5
seq00000000	S-latissima_F_contig3976	1	5.4
seq00000000	S-latissima_F_contig4363	1	5.1
seq00000023	SL_02	75	4357.8
seq00000023	S-latissima_F_contig99	9	433.9
seq00000023	S-latissima_F_contig375	5	288.5
seq00000023	S-latissima_F_contig547	4	245.4
seq00000023	S-latissima_F_contig1268	2	115.4
seq00000023	S-latissima_F_contig1444	2	100.2
seq00000023	S-latissima_F_contig1560	1	94.4
seq00000023	S-latissima_F_contig1489	2	84.2
seq00000023	S-latissima_F_contig1503	3	83.2
seq00000023	S-latissima_F_contig1713	1	80.5
seq00000023	S-latissima_F_contig2158	1	60.1
seq00000023	S-latissima_F_contig2299	1	53.3
seq00000023	S-latissima_F_contig2519	1	40.8
seq00000023	S-latissima_F_contig2671	2	36.2
seq00000023	S-latissima_F_contig2792	1	34.9
seq00000023	S-latissima_F_contig2773	1	34.5
seq00000023	S-latissima_F_contig2842	1	33.2
seq00000023	S-latissima_F_contig2912	1	32.2
seq00000023	S-latissima_F_contig2591	1	31.5
seq00000023	S-latissima_F_contig2320	1	26.3
seq00000023	S-latissima_F_contig2677	1	24.1
seq00000023	S-latissima_F_contig2913	1	23.3
seq00000023	S-latissima_F_contig3253	1	18.3
seq00000023	S-latissima_F_contig3682	1	14.7
seq00000023	S-latissima_F_contig3053	1	14.4
seq00000023	S-latissima_F_contig2765	1	13.3
seq00000023	S-latissima_F_contig2694	1	12.2
seq00000023	S-latissima_F_contig3645	1	12
seq00000023	S-latissima_F_contig3841	1	11.9
seq00000023	S-latissima_F_contig4044	1	9.2
seq00000023	S-latissima_F_contig3043	1	8.8
seq00000023	S-latissima_F_contig3732	1	8.8
seq00000023	S-latissima_F_contig3254	1	7.1
seq00000023	S-latissima_F_contig3470	1	7
seq00000023	S-latissima_F_contig3306	1	6.9
seq00000023	S-latissima_F_contig3985	1	6.7
seq00000023	S-latissima_F_contig4288	1	6.5
seq00000023	S-latissima_F_contig4089	1	6.4
seq00000023	S-latissima_F_contig3987	1	6.1
seq00000034	SL_05	138	8247.8
seq00000034	S-latissima_F_contig827	4	179.3
seq00000034	S-latissima_F_contig852	3	134.8
seq00000034	S-latissima_F_contig1061	4	117.3
seq00000034	S-latissima_F_contig1429	4	103.1
seq00000034	S-latissima_F_contig1610	2	93.6
seq00000034	S-latissima_F_contig1534	2	88
seq00000034	S-latissima_F_contig1471	1	82.7
seq00000034	S-latissima_F_contig1909	1	78.4
seq00000034	S-latissima_F_contig1872	1	75.8
seq00000034	S-latissima_F_contig1962	1	67.3
seq00000034	S-latissima_F_contig2042	2	60
seq00000034	S-latissima_F_contig1306	3	59.9
seq00000034	S-latissima_F_contig1584	3	55.7
seq00000034	S-latissima_F_contig2606	2	41.7
seq00000034	S-latissima_F_contig2629	1	41.7
seq00000034	S-latissima_F_contig1949	2	40.3
seq00000034	S-latissima_F_contig1764	1	31.8
seq00000034	S-latissima_F_contig2918	2	31.7
seq00000034	S-latissima_F_contig2602	1	30
seq00000034	S-latissima_F_contig2995	2	28.5
seq00000034	S-latissima_F_contig2175	1	26.9
seq00000034	S-latissima_F_contig2740	1	25.9
seq00000034	S-latissima_F_contig3067	1	23.4
seq00000034	S-latissima_F_contig3300	1	21.1
seq00000034	S-latissima_F_contig3444	1	18.1
seq00000034	S-latissima_F_contig3349	1	17.2
seq00000034	S-latissima_F_contig2866	1	16.4
seq00000034	S-latissima_F_contig3672	1	15.1
seq00000034	S-latissima_F_contig3696	1	13.9
seq00000034	S-latissima_F_contig3313	2	13.5
seq00000034	S-latissima_F_contig3883	1	11.4
seq00000034	S-latissima_F_contig3851	1	10.7
seq00000034	S-latissima_F_contig3965	1	9.9
seq00000034	S-latissima_F_contig3999	1	9.8
seq00000034	S-latissima_F_contig3649	1	9
seq00000034	S-latissima_F_contig3659	1	8.6
seq00000034	S-latissima_F_contig3852	1	7.7
seq00000034	S-latissima_F_contig4154	1	7.3
seq00000034	S-latissima_F_contig4201	1	6.9
seq00000034	S-latissima_F_contig4081	1	6.6
seq00000034	S-latissima_F_contig3998	1	5.1
seq00000045	SL_24	120	7523.8
seq00000045	S-latissima_F_contig822	2	179.1
seq00000045	S-latissima_F_contig1597	2	94.3
seq00000045	S-latissima_F_contig1737	1	88.2
seq00000045	S-latissima_F_contig1634	3	83.4
seq00000045	S-latissima_F_contig1808	1	79
seq00000045	S-latissima_F_contig1863	2	72.8
seq00000045	S-latissima_F_contig2256	1	57.7
seq00000045	S-latissima_F_contig2248	1	56.3
seq00000045	S-latissima_F_contig2322	1	54.8
seq00000045	S-latissima_F_contig2279	2	54.1
seq00000045	S-latissima_F_contig2145	2	52.9
seq00000045	S-latissima_F_contig1699	1	49.1
seq00000045	S-latissima_F_contig1986	3	46.5
seq00000045	S-latissima_F_contig2517	1	44.7
seq00000045	S-latissima_F_contig2249	2	35.9
seq00000045	S-latissima_F_contig2839	1	33.4
seq00000045	S-latissima_F_contig2939	1	30.6
seq00000045	S-latissima_F_contig3231	1	22.5
seq00000045	S-latissima_F_contig3038	1	21.1
seq00000045	S-latissima_F_contig3358	2	19.7
seq00000045	S-latissima_F_contig3462	1	16.6
seq00000045	S-latissima_F_contig3393	1	13.6
seq00000045	S-latissima_F_contig3817	1	12.5
seq00000045	S-latissima_F_contig3429	2	11.6
seq00000045	S-latissima_F_contig3680	1	11.2
seq00000045	S-latissima_F_contig3874	1	10
seq00000045	S-latissima_F_contig4029	1	9.4
seq00000045	S-latissima_F_contig4036	1	9.3
seq00000045	S-latissima_F_contig4105	1	8
seq00000045	S-latissima_F_contig3616	1	7.8
seq00000045	S-latissima_F_contig4074	1	7.6
